date,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,TTE,act_symbol_AAL,act_symbol_AAP,act_symbol_AAPL,act_symbol_ABBV,act_symbol_ABC,act_symbol_ABMD,act_symbol_ABT,act_symbol_ACN,act_symbol_ADBE,act_symbol_ADI,act_symbol_ADM,act_symbol_ADP,act_symbol_ADS,act_symbol_ADSK,act_symbol_AEE,act_symbol_AEP,act_symbol_AES,act_symbol_AFL,act_symbol_AGN,call_put_Put
2019-02-09,2019-02-15,0.18,0.0,0.0,0.16348340154615726,0.5003,0.0011926058437686344,0.999375,0.0004774409166865601,0.42752659574468094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,2019-02-15,0.18,0.1276595744680851,0.13086822548486496,0.1316507503410641,0.0,0.0,1.0,0.0,0.42752659574468094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-02-09,2019-02-15,0.18666666666666665,0.0,0.0,0.16348340154615726,0.5,0.0,1.0,0.0,0.42752659574468094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,2019-02-15,0.18666666666666665,0.1760154738878143,0.1761827079934747,0.1316507503410641,0.0,0.0,1.0,0.0,0.42752659574468094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-02-09,2019-03-15,0.13333333333333333,0.2137330754352031,0.20518397679898492,0.52637562528422,0.9674499999999999,0.01872391174716756,0.960625,0.07113869658629746,0.5540780141843973,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,2019-03-15,0.13333333333333333,0.003868471953578336,0.003806416530723219,0.510231923601637,0.46935,0.018246869409660107,0.971875,0.0694676533778945,0.4177748226950355,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-02-09,2019-03-15,0.13999999999999999,0.1692456479690522,0.1625883632408918,0.4729422464756706,0.9460500000000001,0.029218843172331546,0.9495833333333333,0.10384339937932681,0.5520833333333335,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,2019-03-15,0.13999999999999999,0.007350096711798839,0.00725031720137756,0.4702137335152341,0.44645,0.02933810375670841,0.9595833333333333,0.10551444258772978,0.4106826241134753,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2019-02-09,2019-03-15,0.14666666666666664,0.12669245647969052,0.1227116186333152,0.4245111414279217,0.9116500000000001,0.043887895050685743,0.9372916666666666,0.14514203867271427,0.5458776595744682,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,2019-03-15,0.14666666666666664,0.013152804642166343,0.013050570962479607,0.42746703046839474,0.4109,0.044126416219439475,0.9466666666666667,0.14633564096443066,0.40004432624113484,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
