TTE,strike,bid,ask,delta,gamma,theta,vega,rho,act_symbol_AAL,act_symbol_AAP,act_symbol_AAPL,act_symbol_ABBV,act_symbol_ABC,act_symbol_ABMD,act_symbol_ABT,act_symbol_ACN,act_symbol_ADBE,act_symbol_ADI,act_symbol_ADM,act_symbol_ADP,act_symbol_ADS,act_symbol_ADSK,act_symbol_AEE,act_symbol_AEP,act_symbol_AES,act_symbol_AFL,act_symbol_AGN,call_put_Put
0.0,0.1333333333333333,0.2030947775628626,0.2033713974986405,1.0,0.0,0.9904166666666666,0.0,0.455008865248227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1333333333333333,0.0,0.0,0.4999,0.0002385211687537,0.9995833333333334,0.0002387204583432,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1399999999999999,0.1576402321083172,0.1535254667391698,0.99955,0.0011926058437686,0.9889583333333334,0.0007161613750298,0.4561170212765958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1399999999999999,0.0,0.0,0.4983,0.0036970781156827,0.995,0.002625925041776,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1466666666666666,0.1102514506769825,0.10821098423056,0.99225,0.0163387000596302,0.9735416666666666,0.0097875387920744,0.4567819148936171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1466666666666666,0.0005802707930367,0.0003625158600688,0.4846,0.025283243887895,0.96625,0.0174265934590594,0.4264184397163121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1533333333333333,0.0647969052224371,0.0647090810222947,0.94775,0.0784734645199761,0.91625,0.0453568870852232,0.4547872340425533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1533333333333333,0.002321083172147,0.0021750951604132,0.44895,0.0781156827668455,0.9285416666666668,0.0451181666268799,0.4244237588652483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1599999999999999,0.0257253384912959,0.026463657785028,0.8228,0.1887895050685748,0.8627083333333333,0.0931009787538792,0.447695035460993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1599999999999999,0.0100580270793036,0.010331702011963,0.3235,0.1930828861061419,0.8754166666666666,0.0931009787538792,0.4171099290780142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1666666666666666,0.0040618955512572,0.0036251586006887,0.6017,0.1728085867620751,0.915625,0.0708999761279541,0.4339539007092199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1666666666666666,0.0334622823984526,0.0351640384266811,0.0892999999999999,0.1796064400715563,0.93625,0.0670804487944616,0.4095744680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1733333333333333,0.0,0.0,0.5098,0.0290995825879546,0.9860416666666668,0.011936022917164,0.4281914893617022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1733333333333333,0.0793036750483558,0.0783034257748776,9.9999999999989e-05,0.0083482409063804,1.0,0.0011936022917164,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.18,0.0,0.0,0.5003,0.0011926058437686,0.999375,0.0004774409166865,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18,0.1276595744680851,0.1308682254848649,0.0,0.0,1.0,0.0,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1866666666666666,0.0,0.0,0.5,0.0,1.0,0.0,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1866666666666666,0.1760154738878143,0.1761827079934747,0.0,0.0,1.0,0.0,0.4275265957446809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666667,0.1333333333333333,0.2137330754352031,0.2051839767989849,0.96745,0.0187239117471675,0.960625,0.0711386965862974,0.5540780141843973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.1333333333333333,0.0038684719535783,0.0038064165307232,0.46935,0.0182468694096601,0.971875,0.0694676533778945,0.4177748226950355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666667,0.1399999999999999,0.1692456479690522,0.1625883632408918,0.94605,0.0292188431723315,0.9495833333333332,0.1038433993793268,0.5520833333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.1399999999999999,0.0073500967117988,0.0072503172013775,0.44645,0.0293381037567084,0.9595833333333332,0.1055144425877297,0.4106826241134753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666667,0.1466666666666666,0.1266924564796905,0.1227116186333152,0.91165,0.0438878950506857,0.9372916666666666,0.1451420386727142,0.5458776595744682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.1466666666666666,0.0131528046421663,0.0130505709624796,0.4109,0.0441264162194394,0.9466666666666668,0.1463356409644306,0.4000443262411348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666667,0.1533333333333333,0.0899419729206963,0.0873663222765995,0.8573500000000001,0.0593917710196779,0.92375,0.1902602052995941,0.5323581560283689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.1533333333333333,0.0222437137330754,0.0226572412543048,0.359,0.0612999403697078,0.9358333333333332,0.1919312485079971,0.3849734042553192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666667,0.1599999999999999,0.0578336557059961,0.0565524741707449,0.78895,0.0726296958855098,0.9189583333333332,0.2191453807591311,0.5139627659574469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666667,0.1599999999999999,0.0392649903288201,0.0378829073771977,0.28785,0.074180083482409,0.9297916666666668,0.2186679398424445,0.3656914893617022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
